Отметка времени,Сколько вам лет?,Ваш пол?,Я...,Где вы продвигаете свои товары?,Насколько тяжело находить клиентов?,"Хотели бы вы, чтобы о ваших товаров узнали как можно больше людей, в следствие чего увеличить продажи?",Как часто вы заказываете товары ручного производства (хендмейд) ДЛЯ СЕБЯ?,Где вы находите исполнителей?,Как часто вы заказываете товары ручного производства (хендмейд) В КАЧЕСТВЕ ПОДАРКА?,Где вы находите исполнителей?,На сколько вам тяжело придумать подарок?,Как часто вы заказываете товары ручного производства (хендмейд) В КАЧЕСТВЕ ПОДАРКА?,Как часто вы заказываете товары ручного производства (хендмейд) ДЛЯ СЕБЯ?,Где вы находите исполнителей?,На сколько вам тяжело придумать подарок?,Где вы продвигаете свои  созданные товары?,Насколько тяжело находить клиентов?,Как часто вы заказываете товары ручного производства (хендмейд) В КАЧЕСТВЕ ПОДАРКА?,Как часто вы заказываете товары ручного производства (хендмейд) ДЛЯ СЕБЯ?,Где вы находите исполнителей?,На сколько вам тяжело придумать подарок ?
2022-05-20 12:34:28.460000,16-18,Женский,Все из списка,None,None,None,None,None,None,None,None,None,None,None,None,Instagram,Тяжело. Раз в месяц,Редко,Никогда,Instagram,Очень тяжело
2022-05-20 12:34:34.937000,16-18,Женский,Я люблю покупать себе товары ручной работы,None,None,None,Редко,Instagram,None,None,None,None,None,None,None,None,None,None,None,None,None
2022-05-20 12:37:06.352000,16-18,Мужской,Люблю покупать и дарить,None,None,None,None,None,None,None,None,Редко,Редко,Avito,Нахожу подарок достаточно быстро,None,None,None,None,None,None
2022-05-20 12:38:38.608000,16-18,Мужской,Люблю покупать и дарить,None,None,None,None,None,None,None,None,Редко,Никогда,Случайно,Очень тяжело,None,None,None,None,None,None
2022-05-20 12:41:03.540000,16-18,Женский,Люблю покупать и дарить,None,None,None,None,None,None,None,None,Почти каждый месяц,Редко,Instagram,Нахожу подарок достаточно быстро,None,None,None,None,None,None
2022-05-20 12:41:31.542000,16-18,Мужской,Все из списка,None,None,None,None,None,None,None,None,None,None,None,None,Instagram,Тяжело. Раз в месяц,Почти каждую неделю,Почти каждую неделю,Instagram,Нахожу подарок достаточно быстро
2022-05-20 12:42:04.501000,16-18,Мужской,Люблю покупать и дарить,None,None,None,None,None,None,None,None,Редко,Редко,Freelance,Нахожу подарок достаточно быстро,None,None,None,None,None,None
2022-05-20 12:44:58.015000,16-18,Женский,Я люблю дарить товары ручной работы,None,None,None,None,None,Редко,Instagram,Нахожу подарок достаточно быстро,None,None,None,None,None,None,None,None,None,None
2022-05-20 12:45:38.613000,16-18,Женский,Я люблю дарить товары ручной работы,None,None,None,None,None,Редко,Instagram,Нахожу подарок достаточно быстро,None,None,None,None,None,None,None,None,None,None
2022-05-20 12:49:45.799000,16-18,Мужской,Все из списка,None,None,None,None,None,None,None,None,None,None,None,None,VK,Тяжело. Раз в месяц,Редко,Редко,Freelance,Нахожу подарок достаточно быстро
